MGST2	Q99735	601733	4258	00480;00982;01524;00980;00983;05204;05418;05225;05200;01100
BAG3	O95817	603883	9531	x
C8B	P07358	120960	732	05020;04610;05146;05322
ALDH5A1	P51649	610045	7915	00650;00250;01100
HAGH	Q16775	138760	3029	00620;01100
GALNT9	Q9HCQ5	606251	50614	00512;00514;01100
AK2	P54819	103020	204	00730;00230;01100
TRPV4	Q9HBA0	605427	59341	04750;05418;04218
KANK1	Q14678	607704	23189	x
PLCE1	Q9P212	608414	51196	00562;04070;04933;04919;04020;05205;04015;04024;04014;05131;01100
GFRA1	P56159	601496	2674	x
HEXA	P06865	606869	3073	00603;00604;00511;00531;00513;00520;04142;01100
CRX	O43186	602225	1406	x
SLC6A2	P23975	163970	6530	04721
ST14	Q9Y5Y6	606797	6768	05206
SULT1E1	P49888	600043	6783	00140
FOLH1	Q04609	600934	2346	04977;00250;01100
TMC6	Q7Z403	605828	11322	x
PRMT3	O60678	603190	10196	x
THPO	P40225	600044	7066	04640;04630;04060
AADAC	P22760	600338	13	x
SLC25A45	Q8N413	610825	283130	x
RGMA	Q96B86	607362	56963	04350;04360
MOCS1	Q9NZB8	603707	4337	00790;01100
TP53	P04637	191170	7157	05216;04216;05219;05014;05213;05217;04137;05223;05230;04115;05218;01524;05214;05212;05220;05210;04211;05222;05215;01522;04071;04722;04919;04110;04210;05162;05418;05224;05226;05160;04218;04310;05161;05225;05167;05202;05016;05169;05203;05205;05166;05163;05131;04010;05206;05165;04151;05168;05200
MPP3	Q13368	601114	4356	x
HLA-DRB5	Q30154	604776	3127	05310;05330;05332;04940;04672;05320;05416;05321;05140;04612;04658;05323;05150;04640;04659;05145;05322;04514;04145;05164;05152;05169;05166;05168
CDC42BPB	Q9Y5S2	614062	9578	x
XBP1	P17861	194355	7494	05017;04932;04141
PTGIR	P43119	600022	5739	04611;04270;04080
MLLT1	Q03111	159556	4298	05202
SBF1	O95248	603560	6305	x
ARHGEF10	O15013	608136	9639	x
KMT2E	Q8IZD2	608444	55904	00310;01100
FLNA	P21333	300017	2316	04510;05205;05132;04010
SLC25A21	Q9BQT8	607571	89874	x
TICAM1	Q8IUC6	607601	148022	05133;05235;04064;05142;04620;05135;05160;04217;05161;05164;04621;05167;05165;05168
SRGAP3	O43295	606525	9901	04360
APH1B	Q8WW43	607630	83464	04330;05010
PITPNM3	Q9BZ71	608921	83394	x
PSMA7	O14818	606607	5688	03050
CADM1	Q9BY67	605686	23705	04514
ARHGDIA	P52565	601925	396	04962;04722
NPAS2	Q99743	603347	4862	04710
CD151	P48509	602243	977	x
MASTL	Q96GX5	608221	84930	x
CABP2	Q9NPB3	607314	51475	x
DHDDS	Q86SQ9	608172	79947	00900
CEMIP2	Q9UHN6	605835	23670	x
OPN4	Q9UHM6	606665	94233	x
FUT3	P21217	111100	2525	00601;01100
ERAP1	Q9NZ08	606832	51752	x
SYNE2	Q8WXH0	608442	23224	x
FRY	Q5TBA9	614818	10129	x
BRSK2	Q8IWQ3	609236	9024	x
FABP3	P05413	134651	2170	03320
IL18RAP	O95256	604509	8807	05321;04061;04060
NRXN1	P58400	600565	9378	04514
STOX1	Q6ZVD7	609397	219736	x
TMEM151B	Q8IW70	x	441151	x
SLC7A1	P30825	104615	6541	05206
PRKAG2	Q9UGJ0	602743	51422	04710;04213;04920;04211;05410;04922;04931;04152;04068;04371;04910;04932;04921;04530;04714
MED25	Q71SY5	610197	81857	x
RPGR	Q92834	312610	6103	x
F13B	P05160	134580	2165	04610
SYT2	Q8N9I0	600104	127833	x
