SLC17A1	Q14916	182308	6568	x
C8A	P07357	120950	731	05020;04610;05146;05322
EPAS1	Q99814	603349	2034	05211;05200
UGT1A8	Q9HAW9	606433	54576	00053;00040;00860;00140;00830;00982;00980;00983;05204;01100
SLC15A1	P46059	600544	6564	04974
CHRDL1	Q9BU40	300350	91851	x
TMEM39A	Q9NV64	x	55254	x
HSPA8	P11142	600816	3312	05134;04213;04612;05145;04915;05162;03040;04141;04144;04010
KRT8	P05787	148060	3856	x
ADARB1	P78563	601218	104	x
TAS1R2	Q8TE23	606226	80834	04973;04742
ABCC2	Q92887	601107	1244	01523;02010;04976;01524
COL2A1	P02458	120140	1280	04512;04974;04510;05165;04151
XYLT2	Q9H1B5	608125	64132	00532;00534;01100
CBLB	Q13191	604491	868	04012;04625;04660;04120;04910;05162;04144
POLG	P54098	174763	5428	x
CYP1B1	Q16678	601771	1545	00380;04913;00140;00980;05204;05206
ITGB3	P05106	173470	3690	05412;04512;05410;05414;04640;04919;04611;04380;05418;04145;04510;05205;04015;04810;05163;05206;05165;04151;05168
MYLK	Q15746	600922	4638	04971;04611;04270;04371;04921;04022;04020;04510;04810
CYLD	Q9NQC7	605018	1540	04622;04064;04625;04380;04217
FLNA	P21333	300017	2316	04510;05205;05132;04010
SLC39A4	Q6P5W5	607059	55630	04978
NPY	P01303	162640	4852	04923;04920;05034;04024;04080
GRM5	P41594	604102	2915	04720;04540;04724;04072;04723;04020;05016;04080
FOXI1	Q12951	601093	2299	x
ACKR1	Q16570	613665	2532	05144
WDR66	Q8TBY9	618146	144406	x
PNPLA6	Q8IY17	603197	10908	00564
NAGS	Q8N159	608300	162417	01210;00220;01230;01100
NKX2-5	P52952	600584	1482	x
BTN2A1	Q7KYR7	613590	11120	x
GATA4	P43694	600576	2626	04919;04218;04022;04530
PEPD	P12955	613230	5184	x
CD2AP	Q9Y5K6	604241	23607	05100
GSTO1	P78417	605482	9446	00480;00982;01524;00980;00983;05204;05418;05225;05200;01100
MPP3	Q13368	601114	4356	x
SCN1B	Q07699	600235	6324	04261
APP	P05067	104760	351	04726;05010
MTHFR	P42898	607093	4524	00670;01523;01200;01100
TRAF3IP1	Q8TDR0	607380	26146	x
MBL2	P11226	154545	4153	04610;05150;04145
TCF19	Q9Y242	600912	6941	x
WDR55	Q9H6Y2	x	54853	x
PRKAG3	Q9UGI9	604976	53632	04710;04213;04920;04211;05410;04922;04931;04152;04068;04371;04910;04932;04921;04530;04714
PLA2G7	Q13093	601690	7941	00565;01100
ATP2C1	P98194	604384	27032	x
SNIP1	Q8TAD8	608241	79753	x
SLC12A3	P55017	600968	6559	x
EGFR	P00533	131550	1956	05219;05213;05223;05230;05120;04520;05218;05214;05212;01521;04012;05210;04540;05235;04912;05215;01522;05231;04928;04066;04926;04068;04915;05224;04072;05226;04921;04934;05160;04630;05225;04020;04510;05205;04015;04810;05163;04014;05131;04144;04010;05206;05165;04151;05200
TSPAN17	Q96FV3	x	26262	x
VAX2	Q9UIW0	604295	25806	x
GTF2H1	P32780	189972	2965	03022;03420;05203
PTPN21	Q16825	603271	11099	x
TUBAL3	A6NHL2	x	79861	04540;04210;04145;04530;05130
COL9A2	Q14055	120260	1298	04512;04974;04510;05165;04151
IL19	Q9UHD0	605687	29949	04061;04630;04060
SNRNP200	O75643	601664	23020	03040
SPTB	P11277	182870	6710	x
CALR3	Q96L12	611414	125972	x
LTBP2	Q14767	602091	4053	x
MYT1	Q01538	600379	4661	x
CEP68	Q76N32	616889	23177	x
NCAN	O14594	600826	1463	x
FHL1	Q13642	300163	2273	04630
ATXN2	Q99700	601517	6311	05017
LDLRAD2	Q5SZI1	x	401944	x
BCL11B	Q9C0K0	606558	64919	05202
PARL	Q9H300	607858	55486	x
FAAH2	Q6GMR7	300654	158584	x
KIF5B	P33176	602809	3799	04728;04144
DNMT3B	Q9UBC3	602900	1789	00270;05206;01100
EIF2B4	Q9UI10	606687	8890	03013;05168
PAX3	P23760	606597	5077	05202
NTNG2	Q96CW9	x	84628	04514;04360
ASH1L	Q9NR48	607999	55870	00310;01100
