GC	P02774	139200	2638	x
ADAM12	O43184	602714	8038	x
EGFL7	Q9UHF1	608582	51162	x
PRRC2A	P48634	142580	7916	x
ATP5F1C	P36542	108729	509	00190;05012;05010;05016;04714;01100
PIWIL3	Q7Z3Z3	610314	440822	x
UTS2	O95399	604097	10911	04080
RASA1	P20936	139150	5921	04360;04014;04010
AAGAB	Q6PD74	614888	79719	x
C3	P01024	120700	718	05134;05133;05140;04610;05150;05142;05322;04145;05152;05167;05203;05131;04080;05168
CTSA	P10619	613111	5476	04614;04142
GYPA	P02724	617922	2993	05144;04640
HAS1	Q92839	601463	3036	x
SLC4A5	Q9BY07	606757	57835	04976
NPSR1	Q6W5P4	608595	387129	x
ENTPD1	P49961	601752	953	00240;00230;05169;01100
HSPA1B	P0DMV9	603012	3304	05134;04213;04612;05145;04915;05162;03040;04141;04144;04010
DSTYK	Q6XUX3	612666	25778	x
AGL	P35573	610860	178	00500;01100
TUBAL3	A6NHL2	x	79861	04540;04210;04145;04530;05130
TRPC5	Q9UL62	300334	7224	04929;04360
CDK11A	Q9UQ88	116951	728642	x
DIP2A	Q14689	607711	23181	x
SYT11	Q9BT88	608741	23208	x
CHST13	Q8NET6	610124	166012	00532
RAG1	P15918	179615	5896	05340;04068
PARP2	Q9UGN5	607725	10038	03410;04210;04217
BPIFA1	Q9NP55	607412	51297	x
TMPO	P42166	188380	x	x
TANC2	Q9HCD6	615047	26115	x
NPAT	Q14207	601448	4863	x
POLA1	P09884	312040	5422	03030
HTT	P42858	613004	3064	05016
CHD6	Q8TD26	616114	84181	x
TBC1D23	Q9NUY8	617687	55773	x
EPHX2	P34913	132811	2053	00590;04146;01100
SPTLC1	O15269	605712	10558	00600;04071;01100
SLC26A5	P58743	604943	375611	x
IGFBP7	Q16270	602867	3490	x
MUC4	Q99102	158372	4585	x
ABCG2	Q9UNQ0	603756	9429	01523;02010;04976
SNTG2	Q9NY99	608715	54221	x
IL17F	Q96PD4	606496	112744	05321;04657;04659;04060
IL31RA	Q8NI17	609510	133396	04060
IARS2	Q9NSE4	612801	55699	00970
ECEL1	O95672	605896	9427	x
SLC22A12	Q96S37	607096	116085	x
NDUFS2	O75306	602985	4720	00190;05012;04723;04932;05010;05016;04714;01100
MTFMT	Q96DP5	611766	123263	00670;00970
THBS1	P07996	188060	7057	05219;05144;04115;04512;04350;04145;04510;05205;04015;05206;05165;04151
FDX2	Q6P4F2	614585	112812	x
MS4A6E	Q96DS6	608402	245802	x
DGKD	Q16760	601826	8527	00561;00564;05231;04070;04072;01100
FUT8	Q9BYC5	602589	2530	00533;00513;00510;05202;01100
ATP6V0A1	Q93050	192130	535	04966;05110;05120;04721;05323;04142;00190;04145;05152;05165;01100
FABP7	O15540	602965	2173	03320
TRPM6	Q9BX84	607009	140803	04978
KLF6	Q99612	602053	1316	x
HEXB	P07686	606873	3074	00603;00604;00511;00531;00513;00520;04142;01100
EMC1	Q8N766	616846	23065	x
TGFBR3	Q03167	600742	7049	x
TNNI2	P48788	191043	7136	x
TBX1	O43435	602054	6899	x
PNPLA2	Q96AD5	609059	57104	04923;00561;04714;01100
POLD1	P28340	174761	5424	03430;03410;03030;03440;03420
UPB1	Q9UBR1	606673	51733	00770;00410;00240;00983;01100
IKBIP	Q70UQ0	609861	121457	x
RXRG	P48443	180247	6258	05216;05223;04920;03320;05222;04928;04659;04919;05226;05202;05200
TMEM135	Q86UB9	616360	65084	x
REPS2	Q8NFH8	300317	9185	x
KCNT1	Q5JUK3	608167	57582	x
TFAP2A	P05549	107580	7020	x
SMNDC1	O75940	603519	10285	03040
JAG2	Q9Y219	602570	3714	04330;04658;01522;05224;05200
SLC34A3	Q8N130	609826	142680	04978;04928
GNPTAB	Q3T906	607840	79158	04142
CHRNB1	P11230	100710	1140	04080
SLC35G2	Q8TBE7	617812	80723	x
ISCU	Q9H1K1	611911	23479	x
MDM2	Q00987	164785	4193	05219;04115;05218;01524;05214;05220;05215;01522;04625;04919;04110;04068;04120;04218;05202;05169;05203;05205;05163;05131;04144;05206;05165;04151;05200
BCOR	Q6W2J9	300485	54880	x
AXL	P30530	109135	558	01521
NIPAL1	Q6NVV3	x	152519	x
HTR3E	A5X5Y0	610123	285242	04742;04726
CFI	P05156	217030	3426	04610;05150
SNX31	Q8N9S9	x	169166	x
TRPV5	Q9NQA5	606679	56302	04961;04928
NOTCH2	Q04721	600275	4853	04330;04658;01522;04919;05224;05206;05165;05200
CCL2	P13500	158105	6347	05144;05323;04657;04061;04933;05142;04668;05135;05418;05164;04621;04062;05163;04060;05168
CASP9	P55211	602234	842	04215;05014;05134;05213;04370;05416;05223;04115;01524;05212;05210;05222;05215;05145;04919;04210;05162;05012;05160;05161;05164;05010;05152;05167;05016;05169;05130;05170;05163;04151;05168;05200
DLGAP3	O95886	611413	58512	x
FGFBP1	Q14512	607737	9982	x
CYP2F1	P24903	124070	1572	00980
CHKB	Q9Y259	612395	1120	00564;05231;01100
PAK3	O75914	300142	5063	05211;04012;04660;04360;04510;05130;05170;04810;05132;04014
GEMIN2	O14893	602595	8487	03013
INMT	O95050	604854	11185	00450;00380;01100
STAG1	Q8WVM7	604358	10274	04110
HLA-A	P04439	142800	3105	05330;05332;04940;05320;05416;04612;04650;04514;04145;04218;05167;05169;05203;05170;05166;05163;04144;05165;05168
RYR1	P21817	180901	6261	04730;04713;05017;04371;04921;04020
ORC1	Q13415	601902	4998	04110
AP4M1	O00189	602296	9179	04142
DHRS4L1	P0CG22	615195	x	x
NPAS3	Q8IXF0	609430	64067	x
PSPC1	Q8WXF1	612408	55269	x
GK	P32189	300474	2710	00561;03320;01100
DNASE1L3	Q13609	602244	1776	x
SGCG	Q13326	608896	6445	05416;05412;05410;05414
GABRR1	P24046	137161	2569	05033;04727;05032;04723;04080
AP4E1	Q9UPM8	607244	23431	04142
CHL1	O00533	607416	10752	x
VPS33B	Q9H267	608552	26276	x
MTNR1A	P48039	600665	4543	04713;04080
MAN1B1	Q9UKM7	604346	11253	00513;00510;04141;01100
PSCA	O43653	602470	8000	x
CHRNB4	P30926	118509	1143	04725;04080
SNRPE	P62304	128260	6635	03040
SNCB	Q16143	602569	6620	x
IL4	P05112	147780	3565	05310;05330;04672;05320;05321;04664;05140;04658;04657;04640;04660;04659;04630;04060;04151;05200
ANK2	Q01484	106410	287	05205
MIR17HG	Q75NE6	609415	x	x
CXCL16	Q9H2A7	605398	58191	04062;04060
CYP4A11	Q02928	601310	1579	00071;00590;00830;03320;04750;04270;01100
CTNS	O60931	606272	1497	04142
BICRA	Q9NZM4	605690	29998	x
CIAPIN1	Q6FI81	608943	57019	x
ZAN	Q9Y493	602372	7455	x
SLC25A45	Q8N413	610825	283130	x
IL23R	Q5VWK5	607562	149233	05321;04659;04630;04060;05200
ARVCF	O00192	602269	421	x
SLC6A12	P48065	603080	6539	04721;04727
AHSP	Q9NZD4	605821	51327	x
VLDLR	P98155	192977	7436	05017
CACNA1C	Q13936	114205	775	04930;04929;04927;04720;04924;05031;05412;04742;04260;04911;04727;05410;04912;05414;04713;04925;04725;04724;04726;04935;04270;04728;04723;04261;04921;04934;04022;05010;04020;04024;04010
ERBB2	P04626	164870	2064	05219;05213;05223;05230;04520;01524;05212;01521;04012;05215;01522;04066;05224;05226;04530;04020;04510;05205;04010;05206;04151;05200
ABCC1	P33527	158343	4363	04977;01523;02010;04071;05206
TRIOBP	Q9H2D6	609761	11078	x
PROP1	O75360	601538	5626	x
SLC6A18	Q96N87	610300	348932	x
ROS1	P08922	165020	6098	x
TNFAIP3	P21580	191163	7128	04657;04064;04668;05162;04217;04621;05169
LARS2	Q15031	604544	23395	00970
COG1	Q8WTW3	606973	9382	x
SGK1	O00141	602958	6446	04960;04068;04150;04151
FUS	P35637	137070	2521	05202
ITGA7	Q13683	600536	3679	05412;04512;05410;05414;04510;04810;05165;04151
