KDR	P35968	191306	3791	04370;01521;05418;04510;05205;04015;04014;04010;04151
UROC1	Q96N76	613012	131669	00340;01100
COX4I2	Q96KJ9	607976	84701	04260;00190;05012;04932;05010;05016;04714;01100
GABRR1	P24046	137161	2569	05033;04727;05032;04723;04080
PROM1	O43490	604365	8842	05202
ZFAT	Q9P243	610931	57623	x
MATR3	P43243	164015	9782	x
ABCC4	O15439	605250	10257	01523;02010;04976;04024
CAT	P04040	115500	847	00630;00380;05014;04213;04146;04211;01200;04068;01100
CTSC	P53634	602365	1075	04142;04210
NCSTN	Q92542	605254	23385	04330;05010
TRAF3IP2	O43734	607043	10758	04657;04218
DSG1	Q02413	125670	1828	05150
CARD8	Q9Y2G2	609051	22900	04621
FBLN5	Q9UBX5	604580	10516	x
SLC12A6	Q9UHW9	604878	9990	x
CD22	P20273	107266	933	04662;04640;04514
BBS2	Q9BXC9	606151	583	x
CASP3	P42574	600636	836	04215;05014;05134;05416;05120;04115;01524;05133;05210;05222;04657;04933;05146;04668;05145;04726;04650;04210;05162;05012;04932;05160;05161;05164;05010;05152;05167;05016;05169;05203;05130;05205;05170;05132;05163;04010;05206;05165;05168;05200
HPSE2	Q8WWQ2	613469	60495	00531;05205;01100
VRK1	Q99986	602168	7443	x
FUS	P35637	137070	2521	05202
ZFP90	Q8TF47	609451	146198	05168
SBF1	O95248	603560	6305	x
TCF7	P36402	189908	6932	05216;05213;05217;05221;04520;05412;05210;05215;04916;04550;05224;05226;04390;04934;04310;05225;05132;05165;05200
CIAPIN1	Q6FI81	608943	57019	x
PDE11A	Q9HCR9	604961	50940	05032;00230;04934;01100
CD8A	P01732	186910	925	05340;04612;04640;04660;04514
GALNT3	Q14435	601756	2591	00512;00514;01100
SLC11A1	P49279	600266	6556	04142
SHMT1	P34896	182144	6470	00670;00630;01523;00260;01230;01200;01100
IL19	Q9UHD0	605687	29949	04061;04630;04060
EYA1	Q99502	601653	2138	05202
TDRD7	Q8NHU6	611258	23424	x
LIM2	P55344	154045	3982	x
REEP2	Q9BRK0	609347	51308	x
ABRAXAS1	Q6UWZ7	611143	84142	03440
ETV1	P50549	600541	2115	05202
TKT	P29401	606781	7086	00030;01230;01200;01100
TNNI3	P19429	191044	7137	04260;05410;05414;04261;04024
KLRK1	P26718	611817	22914	05144;04650
TNFAIP3	P21580	191163	7128	04657;04064;04668;05162;04217;04621;05169
CASP10	Q92851	601762	843	04622;04668;04210;05161;05152
DHX37	Q8IY37	617362	57647	x
FOXO4	P98177	300033	4303	04068;04014;05131
EXOC2	Q96KP1	615329	55770	05132;04014
PRKCSH	P14314	177060	5589	04141
IL20RB	Q6UXL0	605621	53833	04061;04630;04060
RPS24	P62847	602412	6229	03010
GHSR	Q92847	601898	2693	04935;04024;04080
PLD2	O14939	602384	5338	00565;05212;04666;04912;00564;05231;04928;04724;04071;04072;04024;04014;04144;05200;01100
SALL1	Q9NSC2	602218	6299	x
ATG16L1	Q676U5	610767	55054	04136;04140;04621;05131
CHKB	Q9Y259	612395	1120	00564;05231;01100
PIP4K2A	P48426	603140	5305	00562;04070;04810;01100
CSNK1E	P49674	600863	1454	04392;04710;04340;04068;04390;04310
SMNDC1	O75940	603519	10285	03040
ALK	Q9UM73	105590	238	05223;05235;05200
DAZL	Q92904	601486	1618	x
IL17RA	Q96F46	605461	23765	04657;04060
NOS1	P29475	163731	4842	00220;00330;05014;04730;04970;04713;04926;04371;04145;05010;04020;01100
MIR17HG	Q75NE6	609415	x	x
PRODH	O43272	606810	5625	00330;01100
PPP1R3A	Q16821	600917	5506	04931;04910
MST1R	Q04912	600168	4486	x
LOXL1	Q08397	153456	4016	x
SLC6A18	Q96N87	610300	348932	x
ATP5PO	P48047	600828	539	00190;05012;05010;05016;04714;01100
YARS2	Q9Y2Z4	610957	51067	00970
SPATA7	Q9P0W8	609868	55812	x
PCM1	Q15154	600299	5108	x
CDH13	P55290	601364	1012	x
CFI	P05156	217030	3426	04610;05150
GM2A	P17900	613109	2760	04142
PARL	Q9H300	607858	55486	x
PNKD	Q8N490	609023	25953	x
MTHFR	P42898	607093	4524	00670;01523;01200;01100
TNFSF11	O14788	602642	8600	04917;05323;04064;04928;04380;05224;04060
ZDHHC8	Q9ULC8	608784	29801	x
KLKB1	P03952	229000	3818	04610
MYO18B	Q8IUG5	607295	84700	x
BCL11B	Q9C0K0	606558	64919	05202
VPS33B	Q9H267	608552	26276	x
MYO1C	O00159	606538	4641	05130
FGF20	Q9NP95	605558	26281	05218;05224;05226;04015;04810;04014;04010;04151;05200
HTR6	P50406	601109	3362	04726;04020;04024;04080
IPP	Q9Y573	147485	3652	x
VPS37A	Q8NEZ2	609927	137492	04144
SGCE	O43556	604149	8910	x
FANCC	Q00597	613899	2176	03460
CHST1	O43916	603797	8534	00533
CIB2	O75838	605564	10518	x
HSPB3	Q12988	604624	8988	x
RMRP	x	157660	x	x
SPTLC1	O15269	605712	10558	00600;04071;01100
UNC93B1	Q9H1C4	608204	81622	x
GLIS2	Q9BZE0	608539	84662	x
P4HB	P07237	176790	5034	04141
ST3GAL4	Q11206	104240	6484	00601;01100
KISS1	Q15726	603286	3814	04929;04080
CNKSR2	Q8WXI2	300724	22866	x
AASS	Q9UDR5	605113	10157	00310;01100
PTK2B	Q14289	601212	2185	04912;04670;05135;04650;04072;05161;04062;04020;05170;05163
ISCU	Q9H1K1	611911	23479	x
DAOA	P59103	607408	267012	x
HPS1	Q92902	604982	3257	x
STAG1	Q8WVM7	604358	10274	04110
RGMA	Q96B86	607362	56963	04350;04360
DLL3	Q9NYJ7	602768	10683	04330;04658;01522;05224;05200
CD4	P01730	186940	920	05340;04612;05235;04658;04640;04660;04659;04514;05170;05166;04060
F5	P12259	612309	2153	04610
BCORL1	Q5H9F3	300688	63035	x
SLC34A2	O95436	604217	10568	04978;04928
TNRC6A	Q8NDV7	610739	27327	x
ERCC1	P07992	126380	2067	03420;03460;01524
GDF15	Q99988	605312	9518	04060
ERF	P50548	611888	2077	x
PRND	Q9UKY0	604263	23627	x
JAK3	P52333	600173	3718	05340;05223;04658;04659;05162;04550;04217;04630;05161;04062;05169;05203;05166;04151;05200
SYT14	Q8NB59	610949	255928	x
KMT2C	Q8NEZ4	606833	58508	00310;01100
LYZ	P61626	153450	4069	04970
P2RX5	Q93086	602836	5026	04020;04080
LRRC8A	Q8IWT6	608360	56262	x
LDHB	P07195	150100	3945	00640;00620;00270;00010;05230;04922;04066;01100
ASPM	Q8IZT6	605481	259266	x
